=== N5 未覆盖名词 (152个) ===
あなた	あなた	你	you
皆さん	みなさん	大家（礼貌）	everyone
大人	おとな	大人；成年人	adult
生徒	せいと	学生（初高中）	student
明後日	あさって	后天	day after tomorrow
今晩	こんばん	今晚	tonight
今月	こんげつ	这个月	this month
休日	きゅうじつ	假日	holiday
喫茶店	きっさてん	咖啡店	cafe
動物	どうぶつ	动物	animal
犬	いぬ	狗	dog
猫	ねこ	猫	cat
コップ	コップ	杯子	glass; cup
切符	きっぷ	车票	ticket
文章	ぶんしょう	文章	text; writing
音楽	おんがく	音乐	music
旅行	りょこう	旅行	travel; trip
札幌市	さっぽろし	北海道首府	Sapporo
仙台市	せんだいし	宫城县县厅所在地	Sendai
東京都	とうきょうと	东京都	Tokyo
横浜市	よこはまし	神奈川县厅所在地	Yokohama
名古屋市	なごやし	爱知县县厅所在地	Nagoya
京都市	きょうとし	京都府首府	Kyoto
大阪市	おおさかし	大阪府首府	Osaka
神戸市	こうべし	兵库县重镇	Kobe
広島市	ひろしまし	广岛县厅所在地	Hiroshima
福岡市	ふくおかし	福冈县厅所在地	Fukuoka
那覇市	なはし	冲绳县厅所在地	Naha
川崎市	かわさきし	神奈川县	Kawasaki
埼玉市	さいたまし	埼玉县厅所在地	Saitama
千葉市	ちばし	千叶县厅所在地	Chiba
堺市	さかいし	大阪府	Sakai
新潟市	にいがたし	新潟县厅所在地	Niigata
浜松市	はままつし	静冈县	Hamamatsu
静岡市	しずおかし	静冈县厅所在地	Shizuoka
岡山市	おかやまし	冈山县厅所在地	Okayama
熊本市	くまもとし	熊本县厅所在地	Kumamoto
銀座	ぎんざ	东京繁华街	Ginza
表参道	おもてさんどう	青山表参道	Omotesando
竹下通り	たけしたどおり	原宿竹下通	Takeshita Street
歌舞伎町	かぶきちょう	新宿歌舞伎町	Kabukicho
六本木ヒルズ周辺	ろっぽんぎひるずしゅうへん	六本木之丘一带	Roppongi Hills area
お台場海浜公園通り	おだいばかいひんこうえんどおり	台场海滨公园一带道路	Odaiba Seaside Park Street
丸の内仲通り	まるのうちなかどおり	东京丸之内仲通	Marunouchi Naka-dori
秋葉原電気街	あきはばらでんきがい	秋叶原电器街	Akihabara Electric Town
道頓堀	どうとんぼり	大阪道顿堀	Dotonbori
心斎橋筋	しんさいばしすじ	大阪心斋桥筋商店街	Shinsaibashi-suji
御堂筋	みどうすじ	大阪御堂筋	Midosuji
祇園	ぎおん	京都祇园	Gion
花見小路	はなみこうじ	京都花见小路	Hanamikoji
先斗町	ぽんとちょう	京都先斗町	Pontocho
哲学の道	てつがくのみち	京都哲学之道	Philosopher's Path
倉敷美観地区	くらしきびかんちく	冈山仓敷美观地区	area
元町通り（神戸）	もとまちどおり（こうべ）	神户元町通	Motomachi Street (Kobe)
東京スカイツリー	とうきょうすかいつりー	晴空塔	Tokyo Skytree
東京タワー	とうきょうたわー	东京塔	Tokyo Tower
浅草寺	せんそうじ	东京浅草寺	Senso-ji Temple
明治神宮	めいじじんぐう	东京明治神宫	Meiji Shrine
皇居外苑	こうきょがいえん	皇居外苑（东京）	Imperial Palace Outer Garden
上野公園	うえのこうえん	东京上野公园	Ueno Park
富士山	ふじさん	富士山	Mt. Fuji
日光東照宮	にっこうとうしょうぐう	栃木日光东照宫	Nikko Toshogu Shrine
兼六園	けんろくえん	金泽兼六园	Kenroku-en Garden
白川郷	しらかわごう	岐阜白川乡	Shirakawa-go
金閣寺	きんかくじ	京都金阁寺	Kinkaku-ji
銀閣寺	ぎんかくじ	京都银阁寺	Ginkaku-ji
清水寺	きよみずでら	京都清水寺	Kiyomizu-dera
伏見稲荷大社	ふしみいなりたいしゃ	京都伏见稻荷大社	Fushimi Inari Shrine
嵐山	あらしやま	京都岚山	Arashiyama
東大寺	とうだいじ	奈良东大寺	Todai-ji
奈良公園	ならこうえん	奈良公园	Nara Park
大阪城	おおさかじょう	大阪城	Osaka Castle
姫路城	ひめじじょう	姬路城	Himeji Castle
厳島神社	いつくしまじんじゃ	广岛宫岛严岛神社	Itsukushima Shrine
原爆ドーム	げんばくドーム	广岛原爆圆顶馆	Atomic Bomb Dome
太宰府天満宮	だざいふてんまんぐう	福冈太宰府天满宫	Dazaifu Tenmangu
首里城跡	しゅりじょうあと	冲绳首里城遗址	Shuri Castle Ruins
いい/良い	いい/よい	好的	good
太い	ふとい	粗的	thick; fat
易しい	やさしい	简单的	simple; easy
汚い	きたない	脏的	dirty
有名	ゆうめい	有名的	famous
ラジオ	らじお	收音机	radio
閉める	しめる	关闭	to close
差す	さす	撑（伞）；照射	to hold (umbrella)
飛ぶ	とぶ	飞	to fly
鳴く	なく	（动物）叫	to cry (animal)
登る	のぼる	爬；登	to climb
貼る	はる	贴	to stick
弾く	ひく	弹奏	to play (instrument)
引く	ひく	拉；引	to pull
持って行く	もっていく	带去	to take (to)
足; 脚	あし	脚；腿	foot; leg
在る	ある	在；存在；有	to be, to have
いい; よい	いい; よい	好的	good
五日	いつか	五天；五号	five days; fifth day of the month
五つ	いつつ	五个	five things
上着	うわぎ	外套；夹克	coat, jacket
