词	读音	含义	级别	词性	出现次数
為る	する	做；干	N3	noun	308
居る	いる	在（谦逊语）	N5	noun	157
有る	ある	在；存在；有	N5	noun	100
言う	いう	说	N5	noun	64
言う	いう	说	?	verb	64
来る	くる	来	N5	noun	56
来る	くる	来	?	verb	56
行く	いく	去	N5	noun	42
行く	いく	去	?	verb	42
思う	おもう	想；认为	N4	noun	40
日本	にっぽん	日本	N3	noun	40
思う	おもう	想/觉得	?	verb	40
人	ひと	人	N5	noun	35
見る	みる	看；观看	N5	noun	34
少し	すこし	一点；少许	N5	noun	34
見る	みる	看	?	verb	34
時間	じかん	时间	N5	noun	30
前	まえ	前面	N5	noun	30
日	ひ	日子；太阳	N4	noun	30
良い	よい	好的	N5	noun	29
聞く	きく	听；问	N5	noun	27
聞く	きく	听/问	?	verb	27
方	かた	（敬称）人	N5	noun	24
出る	でる	出去；出现	N5	noun	24
出る	でる	出去/出现	?	verb	24
自分	じぶん	自己	N5	noun	23
中	なか	里面	N5	noun	23
分	ふん	分钟	N5	noun	22
取る	とる	拿取	N5	noun	21
取る	とる	拿/取	?	verb	21
仕事	しごと	工作	N5	noun	20
入る	はいる	进入	N5	noun	20
入る	はいる	进入	?	verb	20
読む	よむ	读	N5	noun	19
読む	よむ	读	?	verb	19
店	みせ	店	N5	noun	18
多い	おおい	多的	N5	noun	18
物	もの	东西	N5	noun	17
書く	かく	写	N5	noun	17
ほど	ほど	程度	N4	noun	17
書く	かく	写	?	verb	17
目	め	眼睛	N5	noun	15
新しい	あたらしい	新的	N5	noun	15
最初	さいしょ	最初	N4	noun	14
部屋	へや	房间	N5	noun	14
駅	えき	车站	N5	noun	14
使う	つかう	使用	N5	noun	14
分かる	わかる	明白	N5	noun	14
過ぎる	すぎる	经过；过度	N4	noun	14
使う	つかう	用	?	verb	14
分かる	わかる	明白	?	verb	14
問題	もんだい	问题	N5	noun	13
早い	はやい	早的/快的	N5	noun	13
窓口	まどぐち	窗口	N2	noun	13
地方	ちほう	地方	N3	noun	12
社会	しゃかい	社会	N4	noun	12
必要	ひつよう	必要的	N4	noun	12
食べる	たべる	吃	N5	noun	12
持つ	もつ	拿；持有	N5	noun	12
教える	おしえる	教；告诉	N5	noun	12
生活	せいかつ	生活	N4	noun	12
食べる	たべる	吃	?	verb	12
教える	おしえる	教/告诉	?	verb	12
持つ	もつ	拿/持有	?	verb	12
子供	こども	孩子	N5	noun	11
今	いま	现在	N5	noun	11
朝	あさ	早上	N5	noun	11
置く	おく	放置	N5	noun	11
作る	つくる	做；制作	N5	noun	11
働く	はたらく	工作	N5	noun	11
